trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_liking_instructions.thisRepN,trials_liking_instructions.thisTrialN,trials_liking_instructions.thisN,trials_liking_instructions.thisIndex,trials_liking.thisRepN,trials_liking.thisTrialN,trials_liking.thisN,trials_liking.thisIndex,screen_size,diet_prompt.started,diet_key_resp.started,diet_response.text,diet_key_resp.keys,diet_key_resp.rt,additional_diet_prompt.started,additional_diet_response.text,red_meat_prompt.started,red_meat_response.text,practice_trial_question.started,practice_trial_fruit_A.started,practice_trial_fruit_B.started,practice_trial_left_image.started,practice_trial_right_image.started,practice_trial_choice.started,practice_trial_highlighted_choice.started,Trial Type,Left Image,Right Image,practice_trial_choice.keys,practice_trial_choice.rt,practice_trial_end_missed_trial_resp.keys,practice_trial_question.stopped,practice_trial_left_image.stopped,practice_trial_right_image.stopped,practice_trial_choice.stopped,practice_trial_highlighted_choice.stopped,practice_trial_missed_trial_text.started,practice_trial_end_missed_trial_resp.started,practice_trial_fruit_A.stopped,practice_trial_fruit_B.stopped,practice_trial_end_missed_trial_resp.rt,practice_trial_attention_check_question.started,practice_trial_attention_check_fruit_A.started,practice_trial_attention_check_fruit_B.started,practice_trial_attention_check_left_image.started,practice_trial_attention_check_right_image.started,practice_trial_attention_check_choice.started,checks failed,this check failed,practice_trial_attention_check_choice.keys,practice_trial_attention_check_choice.rt,missed_attention_check_resp.keys,liking_trial_question.started,liking_trial_steak_A_title.started,liking_trial_steak_B_title.started,liking_trial_left_image.started,liking_trial_right_image.started,liking_trial_choice.started,liking_trial_highlighted_choice.started,liking_trial_choice.keys,liking_trial_choice.rt,liking_trial_end_missed_trial_resp.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,[2880 1800],21.49329883296741,21.49329883296741,1,return,1.1524488330469467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
0,0,0,0,,,,,,,,,,,,,,,22.68698191700969,1,23.192442416970152,1,24.818112041975837,24.818112041975837,24.818112041975837,25.02527329197619,25.02527329197619,25.02527329197619,25.02527329197619,practice,5.png,4.png,k,0.5202855410170741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
1,0,1,0,,,,,,,,,,,,,,,,,,,26.14443579199724,26.14443579199724,26.14443579199724,26.32497420796426,26.32497420796426,26.32497420796426,26.32497420796426,practice,4.png,6.png,k,0.09903149900492281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
2,0,2,0,,,,,,,,,,,,,,,,,,,26.979326249973383,26.979326249973383,26.979326249973383,27.192526792001445,27.192526792001445,27.192526792001445,27.192526792001445,practice,3.png,4.png,k,0.1627212500316091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
3,0,3,0,,,,,,,,,,,,,,,,,,,27.90531879197806,27.90531879197806,27.90531879197806,28.12544891698053,28.12544891698053,28.12544891698053,28.12544891698053,practice,4.png,1.png,k,0.1026304159895517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
4,0,4,0,,,,,,,,,,,,,,,,,,,28.820597457990516,28.820597457990516,28.820597457990516,29.00947200000519,29.00947200000519,29.00947200000519,29.00947200000519,practice,6.png,5.png,d,0.08543120801914483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
5,0,5,0,,,,,,,,,,,,,,,,,,,29.646962250000797,29.646962250000797,29.646962250000797,29.87490054196678,29.87490054196678,29.87490054196678,29.87490054196678,practice,3.png,5.png,None,,space,33.6595559999696,33.88072708301479,33.88072708301479,33.88072708301479,33.88072708301479,33.88072708301479,33.88072708301479,33.90230195800541,33.90230195800541,1.0655397500377148,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
6,0,6,0,,,,,,,,,,,,,,,,,,,34.98098300001584,34.98098300001584,34.98098300001584,35.2121827499941,35.2121827499941,35.2121827499941,35.2121827499941,practice,1.png,5.png,d,0.31444220803678036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
7,0,7,0,,,,,,,,,,,,,,,,,,,36.12287349998951,36.12287349998951,36.12287349998951,36.3088641249924,36.3088641249924,36.3088641249924,36.3088641249924,practice,6.png,3.png,d,0.16378975001862273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
8,0,8,0,,,,,,,,,,,,,,,,,,,37.068934458016884,37.068934458016884,37.068934458016884,37.25174329197034,37.25174329197034,37.25174329197034,37.25174329197034,practice,1.png,6.png,k,0.14321704203030095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
9,0,9,0,,,,,,,,,,,,,,,,,,,37.95382541697472,37.95382541697472,37.95382541697472,38.17617537500337,38.17617537500337,38.17617537500337,38.17617537500337,practice,3.png,1.png,d,0.3213470419868827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attention-check,1.png,1.png,,,,,,,,,,,,,,39.05820783297531,39.05820783297531,39.05820783297531,39.27590854198206,39.27590854198206,39.27590854198206,0,False,['q'],[10.055760250077583],,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,None,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,liking,4.png,5.png,,,,,,,,,,,,,,,,,,,,,,,,,52.66274508298375,52.66274508298375,52.66274508298375,52.880200832965784,52.880200832965784,52.880200832965784,52.880200832965784,k,0.19555695803137496,None,001,2025-10-03_17h37.46.614,Attitudes about food products,2022.2.5,119.5228647363737,
